名前,全体,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
チョンボ,1 回,0.1%,,34,大三元,0 回,0.00%,1 位,,32,-1.5,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,33,+0.0,,,,,
1翻,10 回,3.5%,,36,小四喜,0 回,0.00%,1 位,,34,+12.1,,,,,
2翻,37 回,12.8%,,37,緑一色,0 回,0.00%,1 位,,35,+12.5,,,,,
3翻,50 回,17.4%,,38,清老頭,0 回,0.00%,1 位,,36,+0.0,,,,,
4翻,53 回,18.4%,,39,四槓子,0 回,0.00%,1 位,,37,+25.4,,,,,
5翻,37 回,12.8%,,40,九蓮宝燈,0 回,0.00%,1 位,,38,+32.8,,,,,
6翻,41 回,14.2%,,41,天和,0 回,0.00%,1 位,,39,+0.0,,,,,
7翻,26 回,9.0%,,42,地和,0 回,0.00%,1 位,,40,+35.0,,,,,
8翻,18 回,6.3%,,43,人和,0 回,0.00%,1 位,,41,+3.8,,,,,
9翻,6 回,2.1%,,44,国士13面,0 回,0.00%,1 位,,42,+0.0,,,,,
10翻,6 回,2.1%,,45,四暗刻単騎,0 回,0.00%,1 位,,43,+19.2,,,,,
11翻,2 回,0.7%,,46,純正九蓮,0 回,0.00%,1 位,,44,-2.9,,,,,
12翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,45,+0.0,,,,,
13翻～,2 回,0.7%,,48,大竹林,0 回,0.00%,1 位,,46,+27.9,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,47,+42.7,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,48,±0,,,,,
,,,,51,オープン立直,0 回,0.00%,1 位,,49,-22.4,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,50,-17.4,,,,,
,,,,,,,,,,51,±0,,,,,
,,,,,,,,,,52,+2.5,,,,,
,,,,,,,,,,53,+33.4,,,,,
,,,,,,,,,,54,±0,,,,,
,,,,,,,,,,55,-34.0,,,,,
,,,,,,,,,,56,-32.9,,,,,
,,,,,,,,,,57,±0,,,,,
,,,,,,,,,,58,+2.5,,,,,
,,,,,,,,,,59,+16.9,,,,,
,,,,,,,,,,60,±0,,,,,
,,,,,,,,,,61,-18.6,,,,,
,,,,,,,,,,62,-18.0,,,,,
,,,,,,,,,,63,±0,,,,,
,,,,,,,,,,64,-9.2,,,,,
,,,,,,,,,,65,+42.1,,,,,
,,,,,,,,,,66,-0.0,,,,,
,,,,,,,,,,67,+30.5,,,,,
,,,,,,,,,,68,+8.8,,,,,
,,,,,,,,,,69,-0.0,,,,,
,,,,,,,,,,70,+15.9,,,,,
,,,,,,,,,,71,-0.8,,,,,
,,,,,,,,,,72,-0.0,,,,,
,,,,,,,,,,73,+36.0,,,,,
,,,,,,,,,,74,+33.5,,,,,
,,,,,,,,,,75,-0.0,,,,,
,,,,,,,,,,76,+2.0,,,,,
,,,,,,,,,,77,-36.2,,,,,
,,,,,,,,,,78,-0.0,,,,,
,,,,,,,,,,79,-35.5,,,,,
,,,,,,,,,,80,-27.5,,,,,
,,,,,,,,,,81,-0.0,,,,,
,,,,,,,,,,82,+31.6,,,,,
,,,,,,,,,,83,+26.3,,,,,
,,,,,,,,,,84,-0.0,,,,,
,,,,,,,,,,85,+14.5,,,,,
,,,,,,,,,,86,+40.5,,,,,
,,,,,,,,,,87,-0.0,,,,,
,,,,,,,,,,88,-12.4,,,,,
,,,,,,,,,,89,-11.4,,,,,
,,,,,,,,,,90,-0.0,,,,,
,,,,,,,,,,91,-34.8,,,,,
,,,,,,,,,,92,-25.4,,,,,
,,,,,,,,,,93,-0.0,,,,,
,,,,,,,,,,94,+34.0,,,,,
,,,,,,,,,,95,+39.0,,,,,
,,,,,,,,,,96,-0.0,,,,,
,,,,,,,,,,97,-4.1,,,,,
,,,,,,,,,,98,+25.7,,,,,
,,,,,,,,,,99,-0.0,,,,,
,,,,,,,,,,100,-4.0,,,,,
,,,,,,,,,,101,-19.0,,,,,
,,,,,,,,,,102,-0.0,,,,,
,,,,,,,,,,103,+20.4,,,,,
,,,,,,,,,,104,+18.1,,,,,
,,,,,,,,,,105,-0.0,,,,,
,,,,,,,,,,106,-5.0,,,,,
,,,,,,,,,,107,+27.0,,,,,
,,,,,,,,,,108,-0.0,,,,,
,,,,,,,,,,109,+30.0,,,,,
,,,,,,,,,,110,+37.0,,,,,
,,,,,,,,,,111,-0.0,,,,,
,,,,,,,,,,112,+18.0,,,,,
,,,,,,,,,,113,-1.0,,,,,
,,,,,,,,,,114,-0.0,,,,,
,,,,,,,,,,115,+19.5,,,,,
,,,,,,,,,,116,+17.1,,,,,
,,,,,,,,,,117,-0.0,,,,,
