名前,れんたろう,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,104,+408.9,1566,,,,,
,,,,,,,,,,105,+372.3,1559,,,,,
,,,,,,,,,,106,+395.8,1563,,,,,
,,,,,,,,,,107,+438.2,1571,,,,,
,,,,,,,,,,108,+471.1,1576,,,,,
,,,,,,,,,,109,+509.0,1583,,,,,
,,,,,,,,,,110,+522.5,1584,,,,,
,,,,,,,,,,111,+600.8,1598,,,,,
,,,,,,,,,,112,+616.4,1601,,,,,
,,,,,,,,,,113,+638.1,1605,,,,,
,,,,,,,,,,114,+637.1,1605,,,,,
,,,,,,,,,,115,+581.1,1594,,,,,
,,,,,,,,,,116,+558.8,1590,,,,,
,,,,,,,,,,117,+619.0,1601,,,,,
,,,,,,,,,,118,+706.1,1616,,,,,
,,,,,,,,,,119,+672.8,1609,,,,,
,,,,,,,,,,120,+622.4,1599,,,,,
,,,,,,,,,,121,+623.7,1599,,,,,
,,,,,,,,,,122,+609.3,1597,,,,,
,,,,,,,,,,123,+621.5,1599,,,,,
,,,,,,,,,,124,+571.0,1590,,,,,
,,,,,,,,,,125,+505.5,1577,,,,,
,,,,,,,,,,126,+475.0,1572,,,,,
,,,,,,,,,,127,+531.3,1581,,,,,
,,,,,,,,,,128,+494.1,1575,,,,,
,,,,,,,,,,129,+529.8,1581,,,,,
,,,,,,,,,,130,+512.2,1577,,,,,
,,,,,,,,,,131,+465.2,1569,,,,,
,,,,,,,,,,132,+452.2,1567,,,,,
,,,,,,,,,,133,+512.9,1578,,,,,
,,,,,,,,,,134,+544.1,1584,,,,,
,,,,,,,,,,135,+548.6,1584,,,,,
,,,,,,,,,,136,+555.1,1585,,,,,
,,,,,,,,,,137,+588.5,1591,,,,,
,,,,,,,,,,138,+556.7,1585,,,,,
,,,,,,,,,,139,+581.9,1589,,,,,
,,,,,,,,,,140,+587.9,1590,,,,,
,,,,,,,,,,141,+534.9,1580,,,,,
,,,,,,,,,,142,+551.5,1583,,,,,
,,,,,,,,,,143,+528.3,1579,,,,,
