名前,全体,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,1041,-0.0,1572,,,,,
,,,,,,,,,,1042,-3.9,1570,,,,,
,,,,,,,,,,1043,+14.4,1573,,,,,
,,,,,,,,,,1044,-0.0,1570,,,,,
,,,,,,,,,,1045,-21.2,1566,,,,,
,,,,,,,,,,1046,+4.1,1570,,,,,
,,,,,,,,,,1047,-0.0,1569,,,,,
,,,,,,,,,,1048,-42.0,1562,,,,,
,,,,,,,,,,1049,-48.9,1560,,,,,
,,,,,,,,,,1050,-0.0,1569,,,,,
,,,,,,,,,,1051,+21.7,1573,,,,,
,,,,,,,,,,1052,+26.9,1575,,,,,
,,,,,,,,,,1053,-0.0,1570,,,,,
,,,,,,,,,,1054,+44.5,1578,,,,,
,,,,,,,,,,1055,+54.6,1580,,,,,
,,,,,,,,,,1056,-0.0,1570,,,,,
,,,,,,,,,,1057,-60.2,1558,,,,,
,,,,,,,,,,1058,+4.9,1569,,,,,
,,,,,,,,,,1059,-0.0,1567,,,,,
,,,,,,,,,,1060,+37.5,1574,,,,,
,,,,,,,,,,1061,-8.7,1566,,,,,
,,,,,,,,,,1062,-0.0,1568,,,,,
,,,,,,,,,,1063,-21.8,1565,,,,,
,,,,,,,,,,1064,-32.3,1563,,,,,
,,,,,,,,,,1065,-0.0,1569,,,,,
,,,,,,,,,,1066,+12.7,1572,,,,,
,,,,,,,,,,1067,+13.1,1572,,,,,
,,,,,,,,,,1068,-0.0,1570,,,,,
,,,,,,,,,,1069,-17.1,1567,,,,,
,,,,,,,,,,1070,+4.8,1571,,,,,
,,,,,,,,,,1071,-0.0,1570,,,,,
,,,,,,,,,,1072,-49.4,1562,,,,,
,,,,,,,,,,1073,+7.0,1573,,,,,
,,,,,,,,,,1074,-0.0,1572,,,,,
,,,,,,,,,,1075,-6.8,1572,,,,,
,,,,,,,,,,1076,-40.4,1566,,,,,
,,,,,,,,,,1077,-0.0,1574,,,,,
,,,,,,,,,,1078,-8.3,1573,,,,,
,,,,,,,,,,1079,+18.6,1579,,,,,
,,,,,,,,,,1080,-0.0,1576,,,,,
,,,,,,,,,,1081,+31.4,1582,,,,,
,,,,,,,,,,1082,+43.4,1585,,,,,
,,,,,,,,,,1083,-0.0,1577,,,,,
,,,,,,,,,,1084,-39.0,1570,,,,,
,,,,,,,,,,1085,+3.7,1578,,,,,
,,,,,,,,,,1086,-0.0,1578,,,,,
,,,,,,,,,,1087,+1.2,1577,,,,,
,,,,,,,,,,1088,-24.8,1571,,,,,
,,,,,,,,,,1089,-0.0,1575,,,,,
,,,,,,,,,,1090,+16.9,1577,,,,,
,,,,,,,,,,1091,+0.4,1573,,,,,
,,,,,,,,,,1092,-0.0,1573,,,,,
,,,,,,,,,,1093,+28.0,1577,,,,,
,,,,,,,,,,1094,+41.8,1579,,,,,
,,,,,,,,,,1095,-0.0,1572,,,,,
,,,,,,,,,,1096,-48.7,1563,,,,,
,,,,,,,,,,1097,-16.3,1568,,,,,
,,,,,,,,,,1098,-0.0,1571,,,,,
,,,,,,,,,,1099,-19.7,1568,,,,,
,,,,,,,,,,1100,+9.5,1574,,,,,
,,,,,,,,,,1101,-0.0,1573,,,,,
,,,,,,,,,,1102,-46.4,1565,,,,,
,,,,,,,,,,1103,-54.2,1563,,,,,
,,,,,,,,,,1104,-0.0,1573,,,,,
,,,,,,,,,,1105,-16.5,1570,,,,,
,,,,,,,,,,1106,+55.8,1582,,,,,
,,,,,,,,,,1107,-0.0,1571,,,,,
,,,,,,,,,,1108,-70.9,1558,,,,,
,,,,,,,,,,1109,-8.0,1568,,,,,
,,,,,,,,,,1110,-0.0,1569,,,,,
,,,,,,,,,,1111,+33.0,1574,,,,,
,,,,,,,,,,1112,+7.4,1568,,,,,
,,,,,,,,,,1113,-0.0,1565,,,,,
,,,,,,,,,,1114,-56.2,1555,,,,,
,,,,,,,,,,1115,-12.4,1563,,,,,
,,,,,,,,,,1116,-0.0,1565,,,,,
,,,,,,,,,,1117,+25.6,1569,,,,,
,,,,,,,,,,1118,+33.9,1571,,,,,
,,,,,,,,,,1119,-0.0,1565,,,,,
,,,,,,,,,,1120,-31.3,1559,,,,,
,,,,,,,,,,1121,-6.4,1564,,,,,
,,,,,,,,,,1122,-0.0,1565,,,,,
,,,,,,,,,,1123,-30.0,1560,,,,,
,,,,,,,,,,1124,+10.6,1568,,,,,
,,,,,,,,,,1125,-0.0,1566,,,,,
,,,,,,,,,,1126,-9.0,1564,,,,,
,,,,,,,,,,1127,+30.1,1572,,,,,
,,,,,,,,,,1128,-0.0,1566,,,,,
,,,,,,,,,,1129,-48.5,1558,,,,,
,,,,,,,,,,1130,-42.5,1559,,,,,
,,,,,,,,,,1131,-0.0,1567,,,,,
,,,,,,,,,,1132,+48.2,1576,,,,,
,,,,,,,,,,1133,-0.3,1567,,,,,
,,,,,,,,,,1134,-0.0,1568,,,,,
,,,,,,,,,,1135,-2.5,1567,,,,,
,,,,,,,,,,1136,-16.9,1565,,,,,
,,,,,,,,,,1137,-0.0,1568,,,,,
,,,,,,,,,,1138,-34.5,1562,,,,,
,,,,,,,,,,1139,-11.5,1566,,,,,
,,,,,,,,,,1140,-0.0,1569,,,,,
,,,,,,,,,,1141,-25.6,1564,,,,,
,,,,,,,,,,1142,-27.6,1564,,,,,
,,,,,,,,,,1143,-0.0,1569,,,,,
,,,,,,,,,,1144,-15.4,1567,,,,,
,,,,,,,,,,1145,-48.4,1561,,,,,
,,,,,,,,,,1146,-0.0,1570,,,,,
,,,,,,,,,,1147,-7.4,1569,,,,,
,,,,,,,,,,1148,+31.1,1576,,,,,
,,,,,,,,,,1149,-0.0,1570,,,,,
