名前,ただ,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,150,-1274.3,1400,,,,,
,,,,,,,,,,151,-1320.4,1393,,,,,
,,,,,,,,,,152,-1364.7,1385,,,,,
,,,,,,,,,,153,-1415.8,1376,,,,,
,,,,,,,,,,154,-1432.6,1374,,,,,
,,,,,,,,,,155,-1352.8,1390,,,,,
,,,,,,,,,,156,-1344.3,1392,,,,,
,,,,,,,,,,157,-1357.7,1391,,,,,
,,,,,,,,,,158,-1338.1,1396,,,,,
,,,,,,,,,,159,-1330.7,1398,,,,,
,,,,,,,,,,160,-1265.7,1411,,,,,
,,,,,,,,,,161,-1246.2,1415,,,,,
,,,,,,,,,,162,-1210.3,1423,,,,,
,,,,,,,,,,163,-1183.8,1428,,,,,
,,,,,,,,,,164,-1234.3,1420,,,,,
,,,,,,,,,,165,-1258.7,1417,,,,,
,,,,,,,,,,166,-1194.5,1430,,,,,
,,,,,,,,,,167,-1209.8,1428,,,,,
,,,,,,,,,,168,-1244.6,1422,,,,,
,,,,,,,,,,169,-1197.1,1432,,,,,
,,,,,,,,,,170,-1147.6,1442,,,,,
,,,,,,,,,,171,-1112.9,1448,,,,,
,,,,,,,,,,172,-1065.9,1456,,,,,
,,,,,,,,,,173,-1064.8,1457,,,,,
,,,,,,,,,,174,-1090.1,1452,,,,,
,,,,,,,,,,175,-1146.1,1442,,,,,
,,,,,,,,,,176,-1142.5,1443,,,,,
,,,,,,,,,,177,-1194.4,1433,,,,,
,,,,,,,,,,178,-1166.8,1439,,,,,
,,,,,,,,,,179,-1205.5,1432,,,,,
