名前,いちかわ,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
チョンボ,3 回,0.7%,,35,大四喜,0 回,0.00%,1 位,,33,+102.6,1523,,,,,
,,,,36,小四喜,0 回,0.00%,1 位,,34,+65.6,1516,,,,,
1翻,8 回,6.1%,,37,緑一色,0 回,0.00%,1 位,,35,+45.5,1512,,,,,
2翻,27 回,20.5%,,38,清老頭,0 回,0.00%,1 位,,36,+40.7,1511,,,,,
3翻,28 回,21.2%,,39,四槓子,0 回,0.00%,1 位,,37,+17.1,1506,,,,,
4翻,19 回,14.4%,,40,九蓮宝燈,0 回,0.00%,1 位,,38,+78.8,1518,,,,,
5翻,20 回,15.2%,,41,天和,0 回,0.00%,3 位,,39,+101.6,1522,,,,,
6翻,15 回,11.4%,,42,地和,0 回,0.00%,1 位,,40,+140.8,1530,,,,,
7翻,5 回,3.8%,,43,人和,0 回,0.00%,1 位,,41,+123.6,1527,,,,,
8翻,4 回,3.0%,,44,国士13面,0 回,0.00%,1 位,,42,+126.8,1529,,,,,
9翻,1 回,0.8%,,45,四暗刻単騎,0 回,0.00%,3 位,,43,+148.3,1532,,,,,
10翻,2 回,1.5%,,46,純正九蓮,0 回,0.00%,1 位,,44,+143.2,1531,,,,,
11翻,2 回,1.5%,,47,大車輪,0 回,0.00%,1 位,,45,+157.7,1534,,,,,
12翻,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,46,+167.6,1537,,,,,
13翻～,1 回,0.8%,,49,大数隣,0 回,0.00%,1 位,,47,+164.7,1537,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,48,+140.7,1533,,,,,
,,,,51,オープン立直,0 回,0.00%,5 位,,49,+209.3,1546,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,50,+211.6,1547,,,,,
,,,,,,,,,,51,+178.2,1541,,,,,
