名前,全体,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,213,±0,1603,,,,,
,,,,,,,,,,214,+91.0,1620,,,,,
,,,,,,,,,,215,+26.9,1608,,,,,
,,,,,,,,,,216,+0.0,1603,,,,,
,,,,,,,,,,217,-11.0,1601,,,,,
,,,,,,,,,,218,+59.0,1614,,,,,
,,,,,,,,,,219,+0.0,1603,,,,,
,,,,,,,,,,220,+28.8,1608,,,,,
,,,,,,,,,,221,+2.9,1603,,,,,
,,,,,,,,,,222,+0.0,1603,,,,,
,,,,,,,,,,223,-58.2,1592,,,,,
,,,,,,,,,,224,-17.1,1600,,,,,
,,,,,,,,,,225,+0.0,1603,,,,,
,,,,,,,,,,226,+47.5,1611,,,,,
,,,,,,,,,,227,-16.2,1600,,,,,
,,,,,,,,,,228,+0.0,1603,,,,,
,,,,,,,,,,229,+5.3,1604,,,,,
,,,,,,,,,,230,+63.8,1615,,,,,
,,,,,,,,,,231,+0.0,1603,,,,,
,,,,,,,,,,232,+33.3,1609,,,,,
,,,,,,,,,,233,+33.5,1609,,,,,
,,,,,,,,,,234,+0.0,1603,,,,,
,,,,,,,,,,235,+40.7,1611,,,,,
,,,,,,,,,,236,+47.8,1612,,,,,
,,,,,,,,,,237,+0.0,1603,,,,,
,,,,,,,,,,238,+64.9,1615,,,,,
,,,,,,,,,,239,+0.4,1603,,,,,
,,,,,,,,,,240,+0.0,1603,,,,,
,,,,,,,,,,241,-28.3,1598,,,,,
,,,,,,,,,,242,+2.4,1604,,,,,
,,,,,,,,,,243,+0.0,1604,,,,,
,,,,,,,,,,244,+35.3,1610,,,,,
,,,,,,,,,,245,-6.4,1602,,,,,
,,,,,,,,,,246,+0.0,1604,,,,,
,,,,,,,,,,247,+0.0,1604,,,,,
,,,,,,,,,,248,-68.0,1591,,,,,
,,,,,,,,,,249,+0.0,1604,,,,,
,,,,,,,,,,250,-19.0,1600,,,,,
,,,,,,,,,,251,+47.0,1612,,,,,
,,,,,,,,,,252,+0.0,1604,,,,,
,,,,,,,,,,253,+51.4,1613,,,,,
,,,,,,,,,,254,+5.4,1605,,,,,
,,,,,,,,,,255,+0.0,1604,,,,,
,,,,,,,,,,256,+48.7,1613,,,,,
,,,,,,,,,,257,+56.0,1614,,,,,
,,,,,,,,,,258,+0.0,1604,,,,,
,,,,,,,,,,259,-43.0,1596,,,,,
,,,,,,,,,,260,+14.8,1607,,,,,
,,,,,,,,,,261,+0.0,1604,,,,,
,,,,,,,,,,262,-9.0,1602,,,,,
,,,,,,,,,,263,-64.6,1592,,,,,
,,,,,,,,,,264,±0,1604,,,,,
,,,,,,,,,,265,-29.1,1599,,,,,
,,,,,,,,,,266,-37.8,1597,,,,,
,,,,,,,,,,267,±0,1604,,,,,
,,,,,,,,,,268,+37.0,1611,,,,,
,,,,,,,,,,269,+44.9,1612,,,,,
,,,,,,,,,,270,±0,1604,,,,,
,,,,,,,,,,271,-31.0,1598,,,,,
,,,,,,,,,,272,-33.2,1598,,,,,
,,,,,,,,,,273,±0,1604,,,,,
,,,,,,,,,,274,+18.8,1607,,,,,
,,,,,,,,,,275,+63.5,1615,,,,,
,,,,,,,,,,276,±0,1603,,,,,
,,,,,,,,,,277,-3.3,1602,,,,,
,,,,,,,,,,278,+27.6,1607,,,,,
,,,,,,,,,,279,-0.0,1602,,,,,
,,,,,,,,,,280,+54.6,1611,,,,,
,,,,,,,,,,281,-3.5,1600,,,,,
,,,,,,,,,,282,-0.0,1600,,,,,
,,,,,,,,,,283,+54.7,1609,,,,,
,,,,,,,,,,284,-0.3,1599,,,,,
,,,,,,,,,,285,-0.0,1599,,,,,
,,,,,,,,,,286,+1.4,1599,,,,,
,,,,,,,,,,287,-30.6,1593,,,,,
,,,,,,,,,,288,-0.0,1598,,,,,
,,,,,,,,,,289,-1.7,1598,,,,,
,,,,,,,,,,290,-33.9,1592,,,,,
,,,,,,,,,,291,-0.0,1598,,,,,
,,,,,,,,,,292,-9.7,1596,,,,,
,,,,,,,,,,293,+45.6,1606,,,,,
,,,,,,,,,,294,-0.0,1597,,,,,
,,,,,,,,,,295,+50.0,1606,,,,,
,,,,,,,,,,296,+42.1,1604,,,,,
,,,,,,,,,,297,-0.0,1596,,,,,
,,,,,,,,,,298,-9.3,1594,,,,,
,,,,,,,,,,299,+61.0,1607,,,,,
,,,,,,,,,,300,-0.0,1595,,,,,
,,,,,,,,,,301,-4.2,1594,,,,,
,,,,,,,,,,302,+26.4,1599,,,,,
,,,,,,,,,,303,-0.0,1594,,,,,
,,,,,,,,,,304,+38.4,1601,,,,,
,,,,,,,,,,305,-8.6,1592,,,,,
,,,,,,,,,,306,-0.0,1593,,,,,
,,,,,,,,,,307,+8.0,1594,,,,,
,,,,,,,,,,308,-29.9,1587,,,,,
,,,,,,,,,,309,-0.0,1592,,,,,
,,,,,,,,,,310,-44.2,1584,,,,,
,,,,,,,,,,311,-41.3,1584,,,,,
,,,,,,,,,,312,-0.0,1591,,,,,
,,,,,,,,,,313,-55.8,1581,,,,,
,,,,,,,,,,314,-1.0,1590,,,,,
,,,,,,,,,,315,-0.0,1590,,,,,
,,,,,,,,,,316,+7.7,1591,,,,,
,,,,,,,,,,317,+46.4,1598,,,,,
,,,,,,,,,,318,-0.0,1589,,,,,
