名前,全体,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,144,+0.0,1504,,,,,
,,,,,,,,,,145,-4.9,1503,,,,,
,,,,,,,,,,146,-16.8,1501,,,,,
,,,,,,,,,,147,+0.0,1504,,,,,
,,,,,,,,,,148,+12.8,1506,,,,,
,,,,,,,,,,149,+16.7,1507,,,,,
,,,,,,,,,,150,+0.0,1504,,,,,
,,,,,,,,,,151,+0.7,1504,,,,,
,,,,,,,,,,152,+43.9,1512,,,,,
,,,,,,,,,,153,+0.0,1504,,,,,
,,,,,,,,,,154,-6.7,1503,,,,,
,,,,,,,,,,155,-9.5,1502,,,,,
,,,,,,,,,,156,+0.0,1504,,,,,
,,,,,,,,,,157,-28.0,1499,,,,,
,,,,,,,,,,158,-83.0,1489,,,,,
,,,,,,,,,,159,+0.0,1504,,,,,
,,,,,,,,,,160,+16.7,1507,,,,,
,,,,,,,,,,161,-21.0,1500,,,,,
,,,,,,,,,,162,+0.0,1504,,,,,
,,,,,,,,,,163,-7.0,1503,,,,,
,,,,,,,,,,164,-12.9,1502,,,,,
,,,,,,,,,,165,+0.0,1504,,,,,
,,,,,,,,,,166,+31.6,1510,,,,,
,,,,,,,,,,167,+37.8,1511,,,,,
,,,,,,,,,,168,+0.0,1504,,,,,
,,,,,,,,,,169,+15.8,1507,,,,,
,,,,,,,,,,170,-30.3,1499,,,,,
,,,,,,,,,,171,+0.0,1504,,,,,
,,,,,,,,,,172,+57.0,1514,,,,,
,,,,,,,,,,173,+6.5,1505,,,,,
,,,,,,,,,,174,+0.0,1504,,,,,
,,,,,,,,,,175,+5.3,1505,,,,,
,,,,,,,,,,176,+11.6,1506,,,,,
,,,,,,,,,,177,+0.0,1504,,,,,
,,,,,,,,,,178,-36.2,1498,,,,,
,,,,,,,,,,179,-17.5,1501,,,,,
,,,,,,,,,,180,+0.0,1504,,,,,
,,,,,,,,,,181,-46.1,1496,,,,,
,,,,,,,,,,182,-41.0,1497,,,,,
,,,,,,,,,,183,+0.0,1504,,,,,
,,,,,,,,,,184,+35.0,1511,,,,,
,,,,,,,,,,185,+10.5,1506,,,,,
,,,,,,,,,,186,+0.0,1504,,,,,
,,,,,,,,,,187,+21.1,1508,,,,,
,,,,,,,,,,188,+7.2,1506,,,,,
,,,,,,,,,,189,+0.0,1504,,,,,
,,,,,,,,,,190,-66.0,1492,,,,,
,,,,,,,,,,191,-74.3,1491,,,,,
,,,,,,,,,,192,+0.0,1504,,,,,
,,,,,,,,,,193,-5.0,1503,,,,,
,,,,,,,,,,194,-50.0,1495,,,,,
,,,,,,,,,,195,+0.0,1504,,,,,
,,,,,,,,,,196,+1.0,1504,,,,,
,,,,,,,,,,197,-35.0,1498,,,,,
,,,,,,,,,,198,+0.0,1504,,,,,
,,,,,,,,,,199,+31.6,1510,,,,,
,,,,,,,,,,200,+0.3,1504,,,,,
,,,,,,,,,,201,+0.0,1504,,,,,
