名前,たかの,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,141,-567.0,1449,,,,,
,,,,,,,,,,142,-565.0,1449,,,,,
,,,,,,,,,,143,-559.4,1451,,,,,
,,,,,,,,,,144,-537.0,1455,,,,,
,,,,,,,,,,145,-492.0,1464,,,,,
,,,,,,,,,,146,-519.2,1460,,,,,
,,,,,,,,,,147,-551.0,1454,,,,,
,,,,,,,,,,148,-513.9,1461,,,,,
,,,,,,,,,,149,-513.1,1462,,,,,
,,,,,,,,,,150,-520.8,1460,,,,,
,,,,,,,,,,151,-564.4,1452,,,,,
,,,,,,,,,,152,-557.1,1454,,,,,
,,,,,,,,,,153,-598.5,1447,,,,,
,,,,,,,,,,154,-566.6,1453,,,,,
,,,,,,,,,,155,-591.0,1450,,,,,
,,,,,,,,,,156,-635.6,1442,,,,,
,,,,,,,,,,157,-627.4,1443,,,,,
,,,,,,,,,,158,-688.3,1433,,,,,
,,,,,,,,,,159,-620.5,1445,,,,,
,,,,,,,,,,160,-635.4,1443,,,,,
,,,,,,,,,,161,-595.3,1451,,,,,
,,,,,,,,,,162,-596.3,1452,,,,,
,,,,,,,,,,163,-597.6,1452,,,,,
,,,,,,,,,,164,-626.0,1448,,,,,
,,,,,,,,,,165,-673.7,1440,,,,,
,,,,,,,,,,166,-674.9,1441,,,,,
,,,,,,,,,,167,-669.6,1442,,,,,
,,,,,,,,,,168,-660.2,1443,,,,,
,,,,,,,,,,169,-721.9,1433,,,,,
,,,,,,,,,,170,-680.3,1440,,,,,
,,,,,,,,,,171,-692.3,1439,,,,,
,,,,,,,,,,172,-677.6,1441,,,,,
,,,,,,,,,,173,-722.2,1434,,,,,
,,,,,,,,,,174,-682.9,1441,,,,,
,,,,,,,,,,175,-681.8,1442,,,,,
,,,,,,,,,,176,-680.5,1443,,,,,
,,,,,,,,,,177,-679.5,1443,,,,,
,,,,,,,,,,178,-714.1,1437,,,,,
,,,,,,,,,,179,-743.6,1431,,,,,
,,,,,,,,,,180,-720.5,1436,,,,,
,,,,,,,,,,181,-761.0,1428,,,,,
,,,,,,,,,,182,-759.5,1429,,,,,
,,,,,,,,,,183,-723.7,1435,,,,,
,,,,,,,,,,184,-731.9,1435,,,,,
,,,,,,,,,,185,-736.8,1435,,,,,
,,,,,,,,,,186,-771.4,1429,,,,,
,,,,,,,,,,187,-759.8,1432,,,,,
,,,,,,,,,,188,-818.4,1423,,,,,
,,,,,,,,,,189,-793.2,1427,,,,,
,,,,,,,,,,190,-802.5,1426,,,,,
,,,,,,,,,,191,-807.1,1425,,,,,
,,,,,,,,,,192,-782.6,1430,,,,,
,,,,,,,,,,193,-810.8,1425,,,,,
,,,,,,,,,,194,-833.2,1422,,,,,
,,,,,,,,,,195,-858.3,1419,,,,,
,,,,,,,,,,196,-843.3,1422,,,,,
,,,,,,,,,,197,-873.5,1418,,,,,
,,,,,,,,,,198,-879.4,1418,,,,,
,,,,,,,,,,199,-862.0,1422,,,,,
,,,,,,,,,,200,-835.2,1428,,,,,
,,,,,,,,,,201,-838.0,1428,,,,,
,,,,,,,,,,202,-862.0,1424,,,,,
,,,,,,,,,,203,-868.7,1424,,,,,
,,,,,,,,,,204,-853.6,1426,,,,,
,,,,,,,,,,205,-867.7,1424,,,,,
,,,,,,,,,,206,-873.1,1424,,,,,
,,,,,,,,,,207,-867.7,1425,,,,,
,,,,,,,,,,208,-882.7,1424,,,,,
,,,,,,,,,,209,-917.6,1418,,,,,
,,,,,,,,,,210,-891.3,1424,,,,,
,,,,,,,,,,211,-913.9,1421,,,,,
,,,,,,,,,,212,-945.3,1415,,,,,
,,,,,,,,,,213,-883.4,1427,,,,,
