名前,まっつん,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,262,-311.2,1524,,,,,
,,,,,,,,,,263,-313.2,1524,,,,,
,,,,,,,,,,264,-291.2,1529,,,,,
,,,,,,,,,,265,-298.3,1527,,,,,
,,,,,,,,,,266,-265.3,1533,,,,,
,,,,,,,,,,267,-277.4,1530,,,,,
,,,,,,,,,,268,-291.2,1528,,,,,
,,,,,,,,,,269,-293.0,1527,,,,,
,,,,,,,,,,270,-296.0,1526,,,,,
,,,,,,,,,,271,-280.6,1529,,,,,
,,,,,,,,,,272,-309.7,1524,,,,,
,,,,,,,,,,273,-326.7,1522,,,,,
,,,,,,,,,,274,-333.9,1521,,,,,
,,,,,,,,,,275,-299.1,1528,,,,,
,,,,,,,,,,276,-300.9,1527,,,,,
,,,,,,,,,,277,-330.8,1522,,,,,
,,,,,,,,,,278,-363.3,1516,,,,,
,,,,,,,,,,279,-397.4,1510,,,,,
,,,,,,,,,,280,-434.5,1503,,,,,
,,,,,,,,,,281,-464.4,1498,,,,,
,,,,,,,,,,282,-482.4,1495,,,,,
,,,,,,,,,,283,-529.7,1486,,,,,
,,,,,,,,,,284,-530.0,1486,,,,,
,,,,,,,,,,285,-578.6,1478,,,,,
,,,,,,,,,,286,-607.8,1472,,,,,
,,,,,,,,,,287,-628.4,1469,,,,,
,,,,,,,,,,288,-639.9,1468,,,,,
,,,,,,,,,,289,-635.7,1469,,,,,
,,,,,,,,,,290,-625.0,1472,,,,,
,,,,,,,,,,291,-591.1,1479,,,,,
,,,,,,,,,,292,-609.6,1476,,,,,
,,,,,,,,,,293,-576.6,1483,,,,,
,,,,,,,,,,294,-549.8,1489,,,,,
,,,,,,,,,,295,-560.0,1488,,,,,
,,,,,,,,,,296,-547.8,1491,,,,,
,,,,,,,,,,297,-494.3,1500,,,,,
,,,,,,,,,,298,-503.5,1499,,,,,
,,,,,,,,,,299,-539.8,1493,,,,,
,,,,,,,,,,300,-539.0,1494,,,,,
,,,,,,,,,,301,-494.2,1502,,,,,
,,,,,,,,,,302,-437.8,1512,,,,,
,,,,,,,,,,303,-425.6,1514,,,,,
,,,,,,,,,,304,-463.6,1508,,,,,
,,,,,,,,,,305,-452.1,1511,,,,,
,,,,,,,,,,306,-505.3,1503,,,,,
,,,,,,,,,,307,-514.0,1502,,,,,
,,,,,,,,,,308,-508.1,1504,,,,,
,,,,,,,,,,309,-458.5,1514,,,,,
,,,,,,,,,,310,-422.2,1521,,,,,
,,,,,,,,,,311,-468.7,1513,,,,,
,,,,,,,,,,312,-514.2,1505,,,,,
,,,,,,,,,,313,-479.6,1512,,,,,
,,,,,,,,,,314,-430.7,1521,,,,,
