名前,れんたろう,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,183,-442.8,1490,,,,,
,,,,,,,,,,184,-465.4,1486,,,,,
,,,,,,,,,,185,-448.2,1490,,,,,
,,,,,,,,,,186,-434.3,1493,,,,,
,,,,,,,,,,187,-507.8,1480,,,,,
,,,,,,,,,,188,-496.4,1482,,,,,
,,,,,,,,,,189,-528.6,1476,,,,,
,,,,,,,,,,190,-514.0,1479,,,,,
,,,,,,,,,,191,-447.7,1490,,,,,
,,,,,,,,,,192,-486.4,1483,,,,,
,,,,,,,,,,193,-488.9,1483,,,,,
,,,,,,,,,,194,-441.3,1493,,,,,
,,,,,,,,,,195,-401.2,1500,,,,,
,,,,,,,,,,196,-329.7,1513,,,,,
,,,,,,,,,,197,-375.2,1504,,,,,
,,,,,,,,,,198,-307.2,1517,,,,,
,,,,,,,,,,199,-309.0,1516,,,,,
,,,,,,,,,,200,-355.1,1508,,,,,
,,,,,,,,,,201,-314.5,1515,,,,,
,,,,,,,,,,202,-372.5,1504,,,,,
,,,,,,,,,,203,-363.0,1506,,,,,
,,,,,,,,,,204,-305.0,1517,,,,,
,,,,,,,,,,205,-362.0,1507,,,,,
,,,,,,,,,,206,-316.0,1516,,,,,
,,,,,,,,,,207,-298.0,1520,,,,,
,,,,,,,,,,208,-371.7,1507,,,,,
,,,,,,,,,,209,-367.0,1508,,,,,
,,,,,,,,,,210,-342.8,1512,,,,,
,,,,,,,,,,211,-351.6,1511,,,,,
,,,,,,,,,,212,-288.2,1522,,,,,
,,,,,,,,,,213,-247.2,1530,,,,,
,,,,,,,,,,214,-250.4,1530,,,,,
,,,,,,,,,,215,-186.2,1541,,,,,
,,,,,,,,,,216,-248.2,1530,,,,,
,,,,,,,,,,217,-302.8,1520,,,,,
,,,,,,,,,,218,-358.8,1510,,,,,
,,,,,,,,,,219,-415.0,1499,,,,,
,,,,,,,,,,220,-429.3,1497,,,,,
,,,,,,,,,,221,-459.6,1491,,,,,
,,,,,,,,,,222,-470.5,1489,,,,,
,,,,,,,,,,223,-530.5,1479,,,,,
,,,,,,,,,,224,-587.1,1469,,,,,
,,,,,,,,,,225,-506.1,1484,,,,,
,,,,,,,,,,226,-463.2,1491,,,,,
,,,,,,,,,,227,-509.9,1483,,,,,
,,,,,,,,,,228,-510.7,1482,,,,,
,,,,,,,,,,229,-438.7,1495,,,,,
,,,,,,,,,,230,-471.4,1489,,,,,
,,,,,,,,,,231,-508.0,1482,,,,,
,,,,,,,,,,232,-478.4,1488,,,,,
,,,,,,,,,,233,-433.9,1497,,,,,
,,,,,,,,,,234,-426.9,1499,,,,,
,,,,,,,,,,235,-431.5,1498,,,,,
,,,,,,,,,,236,-356.3,1513,,,,,
,,,,,,,,,,237,-320.8,1520,,,,,
,,,,,,,,,,238,-263.2,1531,,,,,
,,,,,,,,,,239,-280.3,1528,,,,,
,,,,,,,,,,240,-294.2,1526,,,,,
,,,,,,,,,,241,-325.0,1520,,,,,
,,,,,,,,,,242,-334.1,1518,,,,,
,,,,,,,,,,243,-392.3,1508,,,,,
,,,,,,,,,,244,-438.8,1499,,,,,
,,,,,,,,,,245,-399.6,1507,,,,,
,,,,,,,,,,246,-443.3,1500,,,,,
,,,,,,,,,,247,-385.3,1511,,,,,
,,,,,,,,,,248,-385.8,1511,,,,,
,,,,,,,,,,249,-435.2,1502,,,,,
,,,,,,,,,,250,-446.0,1500,,,,,
,,,,,,,,,,251,-438.3,1501,,,,,
,,,,,,,,,,252,-488.7,1492,,,,,
,,,,,,,,,,253,-435.5,1502,,,,,
,,,,,,,,,,254,-457.4,1498,,,,,
,,,,,,,,,,255,-411.5,1507,,,,,
,,,,,,,,,,256,-426.8,1504,,,,,
,,,,,,,,,,257,-388.1,1511,,,,,
,,,,,,,,,,258,-380.8,1513,,,,,
,,,,,,,,,,259,-350.0,1518,,,,,
,,,,,,,,,,260,-352.8,1517,,,,,
,,,,,,,,,,261,-375.4,1513,,,,,
,,,,,,,,,,262,-384.9,1511,,,,,
,,,,,,,,,,263,-346.8,1518,,,,,
,,,,,,,,,,264,-335.3,1521,,,,,
,,,,,,,,,,265,-376.4,1514,,,,,
,,,,,,,,,,266,-362.7,1517,,,,,
,,,,,,,,,,267,-410.0,1509,,,,,
,,,,,,,,,,268,-356.5,1518,,,,,
,,,,,,,,,,269,-336.0,1522,,,,,
,,,,,,,,,,270,-341.5,1521,,,,,
,,,,,,,,,,271,-294.1,1531,,,,,
,,,,,,,,,,272,-251.1,1538,,,,,
,,,,,,,,,,273,-228.9,1542,,,,,
,,,,,,,,,,274,-213.0,1544,,,,,
,,,,,,,,,,275,-215.0,1545,,,,,
,,,,,,,,,,276,-184.5,1550,,,,,
,,,,,,,,,,277,-219.6,1543,,,,,
,,,,,,,,,,278,-178.7,1551,,,,,
