名前,ただ,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,204,-1062.3,1356,,,,,
,,,,,,,,,,205,-1063.8,1357,,,,,
,,,,,,,,,,206,-1067.2,1358,,,,,
,,,,,,,,,,207,-1061.4,1360,,,,,
,,,,,,,,,,208,-1118.7,1351,,,,,
,,,,,,,,,,209,-1068.7,1360,,,,,
,,,,,,,,,,210,-1080.4,1359,,,,,
,,,,,,,,,,211,-1037.7,1368,,,,,
,,,,,,,,,,212,-1084.7,1360,,,,,
,,,,,,,,,,213,-1120.8,1354,,,,,
,,,,,,,,,,214,-1049.7,1368,,,,,
,,,,,,,,,,215,-1088.5,1363,,,,,
,,,,,,,,,,216,-1145.5,1353,,,,,
,,,,,,,,,,217,-1102.9,1362,,,,,
,,,,,,,,,,218,-1159.2,1352,,,,,
,,,,,,,,,,219,-1132.4,1357,,,,,
,,,,,,,,,,220,-1096.0,1364,,,,,
,,,,,,,,,,221,-1102.3,1364,,,,,
,,,,,,,,,,222,-1064.1,1372,,,,,
,,,,,,,,,,223,-1051.9,1375,,,,,
,,,,,,,,,,224,-1042.9,1377,,,,,
,,,,,,,,,,225,-1003.1,1385,,,,,
,,,,,,,,,,226,-941.5,1396,,,,,
,,,,,,,,,,227,-931.4,1399,,,,,
,,,,,,,,,,228,-935.3,1398,,,,,
,,,,,,,,,,229,-916.3,1402,,,,,
,,,,,,,,,,230,-881.6,1408,,,,,
,,,,,,,,,,231,-845.2,1415,,,,,
,,,,,,,,,,232,-779.2,1427,,,,,
,,,,,,,,,,233,-736.6,1435,,,,,
,,,,,,,,,,234,-687.4,1444,,,,,
,,,,,,,,,,235,-767.8,1430,,,,,
,,,,,,,,,,236,-717.8,1439,,,,,
,,,,,,,,,,237,-721.3,1439,,,,,
,,,,,,,,,,238,-716.3,1441,,,,,
,,,,,,,,,,239,-677.4,1449,,,,,
,,,,,,,,,,240,-729.4,1440,,,,,
,,,,,,,,,,241,-785.3,1431,,,,,
,,,,,,,,,,242,-747.0,1439,,,,,
,,,,,,,,,,243,-699.1,1448,,,,,
,,,,,,,,,,244,-708.2,1447,,,,,
,,,,,,,,,,245,-678.2,1452,,,,,
,,,,,,,,,,246,-677.6,1452,,,,,
,,,,,,,,,,247,-646.1,1458,,,,,
,,,,,,,,,,248,-674.5,1452,,,,,
,,,,,,,,,,249,-679.6,1452,,,,,
,,,,,,,,,,250,-678.1,1453,,,,,
,,,,,,,,,,251,-705.0,1449,,,,,
,,,,,,,,,,252,-767.0,1437,,,,,
,,,,,,,,,,253,-735.9,1443,,,,,
,,,,,,,,,,254,-735.1,1443,,,,,
,,,,,,,,,,255,-764.5,1439,,,,,
,,,,,,,,,,256,-812.8,1431,,,,,
,,,,,,,,,,257,-816.1,1431,,,,,
,,,,,,,,,,258,-787.9,1437,,,,,
,,,,,,,,,,259,-792.1,1437,,,,,
,,,,,,,,,,260,-795.0,1438,,,,,
,,,,,,,,,,261,-837.8,1431,,,,,
,,,,,,,,,,262,-828.0,1433,,,,,
,,,,,,,,,,263,-827.7,1434,,,,,
,,,,,,,,,,264,-861.8,1429,,,,,
,,,,,,,,,,265,-899.2,1423,,,,,
,,,,,,,,,,266,-900.0,1424,,,,,
,,,,,,,,,,267,-956.1,1415,,,,,
,,,,,,,,,,268,-918.5,1422,,,,,
,,,,,,,,,,269,-978.1,1413,,,,,
,,,,,,,,,,270,-1010.5,1408,,,,,
,,,,,,,,,,271,-1051.9,1401,,,,,
,,,,,,,,,,272,-1024.4,1407,,,,,
,,,,,,,,,,273,-1070.9,1400,,,,,
,,,,,,,,,,274,-1117.0,1393,,,,,
,,,,,,,,,,275,-1161.3,1385,,,,,
,,,,,,,,,,276,-1212.4,1376,,,,,
,,,,,,,,,,277,-1229.2,1374,,,,,
,,,,,,,,,,278,-1149.4,1390,,,,,
,,,,,,,,,,279,-1140.9,1392,,,,,
,,,,,,,,,,280,-1154.3,1391,,,,,
,,,,,,,,,,281,-1134.7,1396,,,,,
,,,,,,,,,,282,-1127.3,1398,,,,,
,,,,,,,,,,283,-1062.3,1411,,,,,
,,,,,,,,,,284,-1042.8,1415,,,,,
,,,,,,,,,,285,-1006.9,1423,,,,,
,,,,,,,,,,286,-980.4,1428,,,,,
,,,,,,,,,,287,-1030.9,1420,,,,,
,,,,,,,,,,288,-1055.3,1417,,,,,
,,,,,,,,,,289,-991.1,1430,,,,,
,,,,,,,,,,290,-1006.4,1428,,,,,
,,,,,,,,,,291,-1041.2,1422,,,,,
,,,,,,,,,,292,-993.7,1432,,,,,
,,,,,,,,,,293,-944.2,1442,,,,,
,,,,,,,,,,294,-909.5,1448,,,,,
,,,,,,,,,,295,-862.5,1456,,,,,
,,,,,,,,,,296,-861.4,1457,,,,,
,,,,,,,,,,297,-886.7,1452,,,,,
,,,,,,,,,,298,-942.7,1442,,,,,
,,,,,,,,,,299,-939.1,1443,,,,,
,,,,,,,,,,300,-991.0,1433,,,,,
,,,,,,,,,,301,-963.4,1439,,,,,
