名前,全体,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
,,,,,,,,,,1184,+12.5,,,,,
,,,,,,,,,,1185,+0.0,,,,,
,,,,,,,,,,1186,+45.1,,,,,
,,,,,,,,,,1187,+7.1,,,,,
,,,,,,,,,,1188,+0.0,,,,,
,,,,,,,,,,1189,-56.4,,,,,
,,,,,,,,,,1190,-51.1,,,,,
,,,,,,,,,,1191,+0.0,,,,,
,,,,,,,,,,1192,+45.4,,,,,
,,,,,,,,,,1193,+37.5,,,,,
,,,,,,,,,,1194,+0.0,,,,,
,,,,,,,,,,1195,-58.7,,,,,
,,,,,,,,,,1196,-59.2,,,,,
,,,,,,,,,,1197,+0.0,,,,,
,,,,,,,,,,1198,+6.7,,,,,
,,,,,,,,,,1199,-27.7,,,,,
,,,,,,,,,,1200,+0.0,,,,,
,,,,,,,,,,1201,+6.1,,,,,
,,,,,,,,,,1202,+32.7,,,,,
,,,,,,,,,,1203,+0.0,,,,,
,,,,,,,,,,1204,-54.9,,,,,
,,,,,,,,,,1205,-9.2,,,,,
,,,,,,,,,,1206,+0.0,,,,,
,,,,,,,,,,1207,-52.8,,,,,
,,,,,,,,,,1208,-70.9,,,,,
,,,,,,,,,,1209,+0.0,,,,,
,,,,,,,,,,1210,+82.3,,,,,
,,,,,,,,,,1211,+25.5,,,,,
,,,,,,,,,,1212,+0.0,,,,,
,,,,,,,,,,1213,+22.4,,,,,
,,,,,,,,,,1214,+23.5,,,,,
,,,,,,,,,,1215,+0.0,,,,,
,,,,,,,,,,1216,-24.6,,,,,
,,,,,,,,,,1217,-2.2,,,,,
,,,,,,,,,,1218,+0.0,,,,,
,,,,,,,,,,1219,-5.3,,,,,
,,,,,,,,,,1220,+76.6,,,,,
,,,,,,,,,,1221,+0.0,,,,,
,,,,,,,,,,1222,-12.6,,,,,
,,,,,,,,,,1223,+35.1,,,,,
,,,,,,,,,,1224,+0.0,,,,,
,,,,,,,,,,1225,+66.2,,,,,
,,,,,,,,,,1226,+57.3,,,,,
,,,,,,,,,,1227,+0.0,,,,,
,,,,,,,,,,1228,-35.6,,,,,
,,,,,,,,,,1229,-38.6,,,,,
,,,,,,,,,,1230,+0.0,,,,,
,,,,,,,,,,1231,+32.5,,,,,
,,,,,,,,,,1232,+38.6,,,,,
,,,,,,,,,,1233,+0.0,,,,,
,,,,,,,,,,1234,-36.8,,,,,
,,,,,,,,,,1235,+1.4,,,,,
,,,,,,,,,,1236,+0.0,,,,,
,,,,,,,,,,1237,+10.0,,,,,
,,,,,,,,,,1238,-39.7,,,,,
,,,,,,,,,,1239,+0.0,,,,,
,,,,,,,,,,1240,+42.5,,,,,
,,,,,,,,,,1241,+3.0,,,,,
,,,,,,,,,,1242,+0.0,,,,,
,,,,,,,,,,1243,-7.0,,,,,
,,,,,,,,,,1244,-41.8,,,,,
,,,,,,,,,,1245,+0.0,,,,,
,,,,,,,,,,1246,-34.2,,,,,
,,,,,,,,,,1247,+0.3,,,,,
,,,,,,,,,,1248,+0.0,,,,,
,,,,,,,,,,1249,-58.5,,,,,
,,,,,,,,,,1250,-45.0,,,,,
,,,,,,,,,,1251,+0.0,,,,,
,,,,,,,,,,1252,-78.0,,,,,
,,,,,,,,,,1253,-17.6,,,,,
,,,,,,,,,,1254,+0.0,,,,,
,,,,,,,,,,1255,+2.1,,,,,
,,,,,,,,,,1256,+30.5,,,,,
,,,,,,,,,,1257,+0.0,,,,,
,,,,,,,,,,1258,+8.8,,,,,
,,,,,,,,,,1259,+40.9,,,,,
,,,,,,,,,,1260,+0.0,,,,,
,,,,,,,,,,1261,+9.6,,,,,
,,,,,,,,,,1262,-30.7,,,,,
,,,,,,,,,,1263,+0.0,,,,,
,,,,,,,,,,1264,-1.3,,,,,
,,,,,,,,,,1265,+25.1,,,,,
,,,,,,,,,,1266,+0.0,,,,,
,,,,,,,,,,1267,-65.1,,,,,
,,,,,,,,,,1268,-9.2,,,,,
,,,,,,,,,,1269,+0.0,,,,,
,,,,,,,,,,1270,+31.6,,,,,
,,,,,,,,,,1271,+4.6,,,,,
,,,,,,,,,,1272,+0.0,,,,,
,,,,,,,,,,1273,-43.4,,,,,
,,,,,,,,,,1274,+0.3,,,,,
,,,,,,,,,,1275,+0.0,,,,,
,,,,,,,,,,1276,-31.7,,,,,
,,,,,,,,,,1277,-34.8,,,,,
,,,,,,,,,,1278,+0.0,,,,,
,,,,,,,,,,1279,+63.1,,,,,
,,,,,,,,,,1280,+75.3,,,,,
,,,,,,,,,,1281,+0.0,,,,,
,,,,,,,,,,1282,-10.5,,,,,
,,,,,,,,,,1283,+35.5,,,,,
,,,,,,,,,,1284,+0.0,,,,,
,,,,,,,,,,1285,-57.6,,,,,
,,,,,,,,,,1286,-5.0,,,,,
,,,,,,,,,,1287,+0.0,,,,,
,,,,,,,,,,1288,-33.3,,,,,
,,,,,,,,,,1289,-2.7,,,,,
,,,,,,,,,,1290,+0.0,,,,,
,,,,,,,,,,1291,-39.6,,,,,
,,,,,,,,,,1292,-38.2,,,,,
,,,,,,,,,,1293,+0.0,,,,,
,,,,,,,,,,1294,-29.8,,,,,
,,,,,,,,,,1295,+3.2,,,,,
,,,,,,,,,,1296,+0.0,,,,,
,,,,,,,,,,1297,-7.3,,,,,
,,,,,,,,,,1298,+58.2,,,,,
,,,,,,,,,,1299,+0.0,,,,,
,,,,,,,,,,1300,-36.0,,,,,
,,,,,,,,,,1301,-34.4,,,,,
,,,,,,,,,,1302,+0.0,,,,,
,,,,,,,,,,1303,-59.2,,,,,
,,,,,,,,,,1304,-59.9,,,,,
,,,,,,,,,,1305,+0.0,,,,,
,,,,,,,,,,1306,+35.4,,,,,
,,,,,,,,,,1307,+46.1,,,,,
,,,,,,,,,,1308,+0.0,,,,,
,,,,,,,,,,1309,+42.9,,,,,
,,,,,,,,,,1310,-13.3,,,,,
,,,,,,,,,,1311,+0.0,,,,,
,,,,,,,,,,1312,-37.0,,,,,
,,,,,,,,,,1313,-43.7,,,,,
,,,,,,,,,,1314,+0.0,,,,,
,,,,,,,,,,1315,-57.5,,,,,
,,,,,,,,,,1316,+5.2,,,,,
,,,,,,,,,,1317,+0.0,,,,,
,,,,,,,,,,1318,-43.9,,,,,
,,,,,,,,,,1319,-35.1,,,,,
,,,,,,,,,,1320,+0.0,,,,,
,,,,,,,,,,1321,-0.3,,,,,
,,,,,,,,,,1322,-22.9,,,,,
,,,,,,,,,,1323,+0.0,,,,,
,,,,,,,,,,1324,-34.3,,,,,
,,,,,,,,,,1325,-7.1,,,,,
,,,,,,,,,,1326,+0.0,,,,,
,,,,,,,,,,1327,-38.9,,,,,
,,,,,,,,,,1328,+14.6,,,,,
,,,,,,,,,,1329,+0.0,,,,,
,,,,,,,,,,1330,+30.6,,,,,
,,,,,,,,,,1331,+33.6,,,,,
,,,,,,,,,,1332,+0.0,,,,,
,,,,,,,,,,1333,-58.9,,,,,
,,,,,,,,,,1334,-17.2,,,,,
,,,,,,,,,,1335,+0.0,,,,,
,,,,,,,,,,1336,-56.3,,,,,
,,,,,,,,,,1337,-13.9,,,,,
,,,,,,,,,,1338,+0.0,,,,,
,,,,,,,,,,1339,-12.4,,,,,
,,,,,,,,,,1340,-52.5,,,,,
,,,,,,,,,,1341,+0.0,,,,,
,,,,,,,,,,1342,-36.2,,,,,
,,,,,,,,,,1343,+0.2,,,,,
,,,,,,,,,,1344,+0.0,,,,,
,,,,,,,,,,1345,-14.5,,,,,
,,,,,,,,,,1346,+73.5,,,,,
,,,,,,,,,,1347,+0.0,,,,,
,,,,,,,,,,1348,-57.4,,,,,
,,,,,,,,,,1349,-11.4,,,,,
,,,,,,,,,,1350,+0.0,,,,,
,,,,,,,,,,1351,+34.3,,,,,
,,,,,,,,,,1352,+32.2,,,,,
,,,,,,,,,,1353,+0.0,,,,,
,,,,,,,,,,1354,-56.2,,,,,
,,,,,,,,,,1355,-14.6,,,,,
,,,,,,,,,,1356,+0.0,,,,,
,,,,,,,,,,1357,-50.6,,,,,
,,,,,,,,,,1358,-66.3,,,,,
,,,,,,,,,,1359,+0.0,,,,,
,,,,,,,,,,1360,+69.6,,,,,
,,,,,,,,,,1361,+59.2,,,,,
,,,,,,,,,,1362,+0.0,,,,,
,,,,,,,,,,1363,-18.7,,,,,
,,,,,,,,,,1364,+56.5,,,,,
,,,,,,,,,,1365,+0.0,,,,,
,,,,,,,,,,1366,+37.4,,,,,
,,,,,,,,,,1367,+6.8,,,,,
,,,,,,,,,,1368,+0.0,,,,,
,,,,,,,,,,1369,-6.1,,,,,
,,,,,,,,,,1370,+38.7,,,,,
,,,,,,,,,,1371,+0.0,,,,,
,,,,,,,,,,1372,+62.5,,,,,
,,,,,,,,,,1373,+2.5,,,,,
,,,,,,,,,,1374,+0.0,,,,,
,,,,,,,,,,1375,-37.7,,,,,
,,,,,,,,,,1376,-47.6,,,,,
,,,,,,,,,,1377,+0.0,,,,,
,,,,,,,,,,1378,+20.5,,,,,
,,,,,,,,,,1379,-45.4,,,,,
,,,,,,,,,,1380,+0.0,,,,,
,,,,,,,,,,1381,+51.8,,,,,
,,,,,,,,,,1382,+59.2,,,,,
,,,,,,,,,,1383,+0.0,,,,,
,,,,,,,,,,1384,-56.9,,,,,
,,,,,,,,,,1385,-67.7,,,,,
,,,,,,,,,,1386,+0.0,,,,,
,,,,,,,,,,1387,+36.3,,,,,
,,,,,,,,,,1388,-1.5,,,,,
,,,,,,,,,,1389,+0.0,,,,,
,,,,,,,,,,1390,-30.5,,,,,
,,,,,,,,,,1391,+9.6,,,,,
,,,,,,,,,,1392,+0.0,,,,,
,,,,,,,,,,1393,+44.6,,,,,
,,,,,,,,,,1394,+51.8,,,,,
,,,,,,,,,,1395,+0.0,,,,,
,,,,,,,,,,1396,-56.1,,,,,
,,,,,,,,,,1397,+15.4,,,,,
,,,,,,,,,,1398,+0.0,,,,,
,,,,,,,,,,1399,-16.1,,,,,
,,,,,,,,,,1400,-61.6,,,,,
,,,,,,,,,,1401,+0.0,,,,,
,,,,,,,,,,1402,-59.0,,,,,
,,,,,,,,,,1403,+9.0,,,,,
,,,,,,,,,,1404,+0.0,,,,,
,,,,,,,,,,1405,+74.8,,,,,
,,,,,,,,,,1406,+56.0,,,,,
,,,,,,,,,,1407,+0.0,,,,,
,,,,,,,,,,1408,-63.4,,,,,
,,,,,,,,,,1409,-65.2,,,,,
,,,,,,,,,,1410,+0.0,,,,,
,,,,,,,,,,1411,-20.3,,,,,
,,,,,,,,,,1412,-66.4,,,,,
,,,,,,,,,,1413,+0.0,,,,,
,,,,,,,,,,1414,+4.3,,,,,
,,,,,,,,,,1415,+41.1,,,,,
,,,,,,,,,,1416,+0.0,,,,,
,,,,,,,,,,1417,+84.4,,,,,
,,,,,,,,,,1418,+20.9,,,,,
,,,,,,,,,,1419,+0.0,,,,,
,,,,,,,,,,1420,+40.6,,,,,
,,,,,,,,,,1421,+42.7,,,,,
,,,,,,,,,,1422,+0.0,,,,,
,,,,,,,,,,1423,-58.0,,,,,
,,,,,,,,,,1424,-2.0,,,,,
,,,,,,,,,,1425,+0.0,,,,,
,,,,,,,,,,1426,+36.4,,,,,
,,,,,,,,,,1427,+45.9,,,,,
,,,,,,,,,,1428,+0.0,,,,,
,,,,,,,,,,1429,-78.7,,,,,
,,,,,,,,,,1430,-20.7,,,,,
,,,,,,,,,,1431,+0.0,,,,,
,,,,,,,,,,1432,+37.4,,,,,
,,,,,,,,,,1433,-5.6,,,,,
,,,,,,,,,,1434,+0.0,,,,,
,,,,,,,,,,1435,+0.0,,,,,
,,,,,,,,,,1436,-57.0,,,,,
,,,,,,,,,,1437,+0.0,,,,,
,,,,,,,,,,1438,-23.7,,,,,
,,,,,,,,,,1439,-1.3,,,,,
,,,,,,,,,,1440,+0.0,,,,,
,,,,,,,,,,1441,-3.0,,,,,
,,,,,,,,,,1442,+43.0,,,,,
,,,,,,,,,,1443,+0.0,,,,,
,,,,,,,,,,1444,-35.1,,,,,
,,,,,,,,,,1445,-5.5,,,,,
,,,,,,,,,,1446,+0.0,,,,,
,,,,,,,,,,1447,-27.0,,,,,
,,,,,,,,,,1448,+6.5,,,,,
,,,,,,,,,,1449,+0.0,,,,,
,,,,,,,,,,1450,+49.0,,,,,
,,,,,,,,,,1451,+57.1,,,,,
,,,,,,,,,,1452,+0.0,,,,,
,,,,,,,,,,1453,-28.2,,,,,
,,,,,,,,,,1454,+2.2,,,,,
,,,,,,,,,,1455,+0.0,,,,,
,,,,,,,,,,1456,+6.1,,,,,
,,,,,,,,,,1457,-33.8,,,,,
,,,,,,,,,,1458,+0.0,,,,,
,,,,,,,,,,1459,-63.0,,,,,
,,,,,,,,,,1460,-45.0,,,,,
,,,,,,,,,,1461,+0.0,,,,,
,,,,,,,,,,1462,+100.9,,,,,
,,,,,,,,,,1463,+27.2,,,,,
,,,,,,,,,,1464,+0.0,,,,,
,,,,,,,,,,1465,+27.1,,,,,
,,,,,,,,,,1466,+31.8,,,,,
,,,,,,,,,,1467,+0.0,,,,,
,,,,,,,,,,1468,-0.8,,,,,
,,,,,,,,,,1469,+23.4,,,,,
,,,,,,,,,,1470,+0.0,,,,,
,,,,,,,,,,1471,+57.2,,,,,
,,,,,,,,,,1472,+69.5,,,,,
,,,,,,,,,,1473,+0.0,,,,,
,,,,,,,,,,1474,-48.7,,,,,
,,,,,,,,,,1475,-37.1,,,,,
,,,,,,,,,,1476,+0.0,,,,,
,,,,,,,,,,1477,+29.4,,,,,
,,,,,,,,,,1478,-0.8,,,,,
,,,,,,,,,,1479,+0.0,,,,,
,,,,,,,,,,1480,+79.6,,,,,
,,,,,,,,,,1481,+70.8,,,,,
,,,,,,,,,,1482,+0.0,,,,,
,,,,,,,,,,1483,-55.7,,,,,
,,,,,,,,,,1484,+7.7,,,,,
,,,,,,,,,,1485,+0.0,,,,,
,,,,,,,,,,1486,+40.6,,,,,
,,,,,,,,,,1487,+43.6,,,,,
,,,,,,,,,,1488,+0.0,,,,,
,,,,,,,,,,1489,-50.5,,,,,
,,,,,,,,,,1490,-47.9,,,,,
,,,,,,,,,,1491,+0.0,,,,,
,,,,,,,,,,1492,-41.7,,,,,
,,,,,,,,,,1493,-0.7,,,,,
,,,,,,,,,,1494,+0.0,,,,,
,,,,,,,,,,1495,-34.9,,,,,
,,,,,,,,,,1496,-38.1,,,,,
,,,,,,,,,,1497,+0.0,,,,,
,,,,,,,,,,1498,+64.2,,,,,
,,,,,,,,,,1499,+58.0,,,,,
,,,,,,,,,,1500,+0.0,,,,,
,,,,,,,,,,1501,+60.3,,,,,
,,,,,,,,,,1502,-1.7,,,,,
,,,,,,,,,,1503,+0.0,,,,,
,,,,,,,,,,1504,+7.3,,,,,
,,,,,,,,,,1505,+36.1,,,,,
,,,,,,,,,,1506,+0.0,,,,,
,,,,,,,,,,1507,-41.4,,,,,
,,,,,,,,,,1508,-48.0,,,,,
,,,,,,,,,,1509,+0.0,,,,,
,,,,,,,,,,1510,+31.9,,,,,
,,,,,,,,,,1511,+33.9,,,,,
,,,,,,,,,,1512,+0.0,,,,,
,,,,,,,,,,1513,-11.1,,,,,
,,,,,,,,,,1514,+56.7,,,,,
,,,,,,,,,,1515,+0.0,,,,,
,,,,,,,,,,1516,-24.4,,,,,
,,,,,,,,,,1517,-25.6,,,,,
,,,,,,,,,,1518,+0.0,,,,,
,,,,,,,,,,1519,-44.6,,,,,
,,,,,,,,,,1520,-34.9,,,,,
,,,,,,,,,,1521,+0.0,,,,,
,,,,,,,,,,1522,+46.1,,,,,
,,,,,,,,,,1523,+54.6,,,,,
,,,,,,,,,,1524,+0.0,,,,,
,,,,,,,,,,1525,+56.5,,,,,
,,,,,,,,,,1526,+64.7,,,,,
,,,,,,,,,,1527,+0.0,,,,,
,,,,,,,,,,1528,+23.7,,,,,
,,,,,,,,,,1529,+1.5,,,,,
,,,,,,,,,,1530,+0.0,,,,,
,,,,,,,,,,1531,+27.7,,,,,
,,,,,,,,,,1532,+3.4,,,,,
,,,,,,,,,,1533,+0.0,,,,,
,,,,,,,,,,1534,+45.3,,,,,
,,,,,,,,,,1535,-5.8,,,,,
,,,,,,,,,,1536,+0.0,,,,,
,,,,,,,,,,1537,+9.0,,,,,
,,,,,,,,,,1538,+57.3,,,,,
,,,,,,,,,,1539,+0.0,,,,,
,,,,,,,,,,1540,-56.0,,,,,
,,,,,,,,,,1541,-50.0,,,,,
,,,,,,,,,,1542,+0.0,,,,,
,,,,,,,,,,1543,-56.2,,,,,
,,,,,,,,,,1544,+11.7,,,,,
,,,,,,,,,,1545,+0.0,,,,,
,,,,,,,,,,1546,-31.8,,,,,
,,,,,,,,,,1547,-42.7,,,,,
,,,,,,,,,,1548,+0.0,,,,,
,,,,,,,,,,1549,-7.3,,,,,
,,,,,,,,,,1550,+47.0,,,,,
,,,,,,,,,,1551,+0.0,,,,,
,,,,,,,,,,1552,-14.3,,,,,
,,,,,,,,,,1553,+36.1,,,,,
,,,,,,,,,,1554,+0.0,,,,,
,,,,,,,,,,1555,-60.9,,,,,
,,,,,,,,,,1556,+3.5,,,,,
,,,,,,,,,,1557,+0.0,,,,,
,,,,,,,,,,1558,+67.8,,,,,
,,,,,,,,,,1559,+55.9,,,,,
,,,,,,,,,,1560,+0.0,,,,,
,,,,,,,,,,1561,-14.9,,,,,
,,,,,,,,,,1562,-51.3,,,,,
,,,,,,,,,,1563,+0.0,,,,,
,,,,,,,,,,1564,-57.7,,,,,
,,,,,,,,,,1565,-40.1,,,,,
,,,,,,,,,,1566,+0.0,,,,,
,,,,,,,,,,1567,-1.9,,,,,
,,,,,,,,,,1568,+32.8,,,,,
,,,,,,,,,,1569,+0.0,,,,,
,,,,,,,,,,1570,+11.6,,,,,
,,,,,,,,,,1571,-43.8,,,,,
,,,,,,,,,,1572,+0.0,,,,,
,,,,,,,,,,1573,-1.0,,,,,
,,,,,,,,,,1574,-59.0,,,,,
,,,,,,,,,,1575,+0.0,,,,,
,,,,,,,,,,1576,-1.3,,,,,
,,,,,,,,,,1577,+34.7,,,,,
,,,,,,,,,,1578,+0.0,,,,,
,,,,,,,,,,1579,-7.4,,,,,
,,,,,,,,,,1580,-71.1,,,,,
,,,,,,,,,,1581,+0.0,,,,,
,,,,,,,,,,1582,+77.0,,,,,
,,,,,,,,,,1583,-5.0,,,,,
,,,,,,,,,,1584,+0.0,,,,,
,,,,,,,,,,1585,+92.6,,,,,
,,,,,,,,,,1586,+62.3,,,,,
,,,,,,,,,,1587,+0.0,,,,,
,,,,,,,,,,1588,+49.7,,,,,
,,,,,,,,,,1589,+38.8,,,,,
,,,,,,,,,,1590,+0.0,,,,,
,,,,,,,,,,1591,-28.4,,,,,
,,,,,,,,,,1592,+57.0,,,,,
,,,,,,,,,,1593,+0.0,,,,,
,,,,,,,,,,1594,-47.7,,,,,
,,,,,,,,,,1595,-69.3,,,,,
,,,,,,,,,,1596,+0.0,,,,,
,,,,,,,,,,1597,-32.9,,,,,
,,,,,,,,,,1598,-42.6,,,,,
,,,,,,,,,,1599,+0.0,,,,,
,,,,,,,,,,1600,+11.3,,,,,
,,,,,,,,,,1601,+56.3,,,,,
,,,,,,,,,,1602,+0.0,,,,,
,,,,,,,,,,1603,+15.0,,,,,
,,,,,,,,,,1604,+60.0,,,,,
,,,,,,,,,,1605,+0.0,,,,,
,,,,,,,,,,1606,-50.9,,,,,
,,,,,,,,,,1607,+1.2,,,,,
,,,,,,,,,,1608,+0.0,,,,,
,,,,,,,,,,1609,-10.8,,,,,
,,,,,,,,,,1610,-52.0,,,,,
,,,,,,,,,,1611,+0.0,,,,,
,,,,,,,,,,1612,+5.3,,,,,
,,,,,,,,,,1613,-26.8,,,,,
,,,,,,,,,,1614,+0.0,,,,,
,,,,,,,,,,1615,+9.4,,,,,
,,,,,,,,,,1616,-36.4,,,,,
,,,,,,,,,,1617,+0.0,,,,,
,,,,,,,,,,1618,-2.3,,,,,
,,,,,,,,,,1619,-58.9,,,,,
,,,,,,,,,,1620,+0.0,,,,,
,,,,,,,,,,1621,-24.5,,,,,
,,,,,,,,,,1622,+56.5,,,,,
,,,,,,,,,,1623,+0.0,,,,,
,,,,,,,,,,1624,+39.2,,,,,
,,,,,,,,,,1625,+6.3,,,,,
,,,,,,,,,,1626,+0.0,,,,,
,,,,,,,,,,1627,-51.7,,,,,
,,,,,,,,,,1628,-38.2,,,,,
,,,,,,,,,,1629,+0.0,,,,,
,,,,,,,,,,1630,-61.7,,,,,
,,,,,,,,,,1631,-91.3,,,,,
,,,,,,,,,,1632,+0.0,,,,,
,,,,,,,,,,1633,+41.6,,,,,
,,,,,,,,,,1634,+8.7,,,,,
,,,,,,,,,,1635,+0.0,,,,,
,,,,,,,,,,1636,-55.9,,,,,
,,,,,,,,,,1637,-42.2,,,,,
,,,,,,,,,,1638,+0.0,,,,,
,,,,,,,,,,1639,+62.5,,,,,
,,,,,,,,,,1640,+5.0,,,,,
,,,,,,,,,,1641,+0.0,,,,,
,,,,,,,,,,1642,+12.2,,,,,
,,,,,,,,,,1643,+55.1,,,,,
,,,,,,,,,,1644,+0.0,,,,,
,,,,,,,,,,1645,+9.0,,,,,
,,,,,,,,,,1646,-37.7,,,,,
,,,,,,,,,,1647,+0.0,,,,,
,,,,,,,,,,1648,-12.0,,,,,
,,,,,,,,,,1649,+65.1,,,,,
,,,,,,,,,,1650,+0.0,,,,,
,,,,,,,,,,1651,+14.7,,,,,
,,,,,,,,,,1652,+75.2,,,,,
,,,,,,,,,,1653,+0.0,,,,,
,,,,,,,,,,1654,-43.2,,,,,
,,,,,,,,,,1655,-39.8,,,,,
,,,,,,,,,,1656,+0.0,,,,,
,,,,,,,,,,1657,-53.3,,,,,
,,,,,,,,,,1658,-61.6,,,,,
,,,,,,,,,,1659,+0.0,,,,,
,,,,,,,,,,1660,+31.7,,,,,
,,,,,,,,,,1661,-10.1,,,,,
,,,,,,,,,,1662,+0.0,,,,,
,,,,,,,,,,1663,+42.7,,,,,
,,,,,,,,,,1664,-2.6,,,,,
,,,,,,,,,,1665,+0.0,,,,,
,,,,,,,,,,1666,+62.0,,,,,
,,,,,,,,,,1667,+3.9,,,,,
,,,,,,,,,,1668,+0.0,,,,,
,,,,,,,,,,1669,+35.0,,,,,
,,,,,,,,,,1670,-9.6,,,,,
,,,,,,,,,,1671,+0.0,,,,,
,,,,,,,,,,1672,+39.3,,,,,
,,,,,,,,,,1673,-19.0,,,,,
,,,,,,,,,,1674,+0.0,,,,,
,,,,,,,,,,1675,+1.1,,,,,
,,,,,,,,,,1676,-34.7,,,,,
,,,,,,,,,,1677,+0.0,,,,,
,,,,,,,,,,1678,-32.1,,,,,
,,,,,,,,,,1679,-36.4,,,,,
,,,,,,,,,,1680,+0.0,,,,,
,,,,,,,,,,1681,-7.4,,,,,
,,,,,,,,,,1682,-66.0,,,,,
,,,,,,,,,,1683,+0.0,,,,,
,,,,,,,,,,1684,-55.4,,,,,
,,,,,,,,,,1685,-42.6,,,,,
,,,,,,,,,,1686,+0.0,,,,,
,,,,,,,,,,1687,+17.8,,,,,
,,,,,,,,,,1688,-49.2,,,,,
,,,,,,,,,,1689,+0.0,,,,,
,,,,,,,,,,1690,-17.9,,,,,
,,,,,,,,,,1691,+80.4,,,,,
,,,,,,,,,,1692,+0.0,,,,,
,,,,,,,,,,1693,+9.5,,,,,
,,,,,,,,,,1694,-50.0,,,,,
,,,,,,,,,,1695,+0.0,,,,,
,,,,,,,,,,1696,-55.3,,,,,
,,,,,,,,,,1697,+3.5,,,,,
,,,,,,,,,,1698,+0.0,,,,,
,,,,,,,,,,1699,+31.0,,,,,
,,,,,,,,,,1700,-5.0,,,,,
,,,,,,,,,,1701,+0.0,,,,,
,,,,,,,,,,1702,-35.3,,,,,
,,,,,,,,,,1703,-38.9,,,,,
,,,,,,,,,,1704,+0.0,,,,,
,,,,,,,,,,1705,+41.1,,,,,
,,,,,,,,,,1706,+52.0,,,,,
,,,,,,,,,,1707,+0.0,,,,,
,,,,,,,,,,1708,+54.6,,,,,
,,,,,,,,,,1709,+55.9,,,,,
,,,,,,,,,,1710,+0.0,,,,,
,,,,,,,,,,1711,+27.5,,,,,
,,,,,,,,,,1712,+28.5,,,,,
,,,,,,,,,,1713,+0.0,,,,,
,,,,,,,,,,1714,+33.4,,,,,
,,,,,,,,,,1715,+0.1,,,,,
,,,,,,,,,,1716,+0.0,,,,,
,,,,,,,,,,1717,+38.3,,,,,
,,,,,,,,,,1718,-12.9,,,,,
,,,,,,,,,,1719,+0.0,,,,,
,,,,,,,,,,1720,+47.9,,,,,
,,,,,,,,,,1721,-22.6,,,,,
,,,,,,,,,,1722,+0.0,,,,,
,,,,,,,,,,1723,-7.6,,,,,
,,,,,,,,,,1724,-54.6,,,,,
,,,,,,,,,,1725,+0.0,,,,,
,,,,,,,,,,1726,-34.6,,,,,
,,,,,,,,,,1727,+9.1,,,,,
,,,,,,,,,,1728,+0.0,,,,,
,,,,,,,,,,1729,-29.5,,,,,
,,,,,,,,,,1730,-30.0,,,,,
,,,,,,,,,,1731,+0.0,,,,,
,,,,,,,,,,1732,+0.9,,,,,
,,,,,,,,,,1733,+49.8,,,,,
,,,,,,,,,,1734,+0.0,,,,,
,,,,,,,,,,1735,-23.7,,,,,
,,,,,,,,,,1736,-0.6,,,,,
,,,,,,,,,,1737,+0.0,,,,,
,,,,,,,,,,1738,+9.0,,,,,
,,,,,,,,,,1739,-31.5,,,,,
,,,,,,,,,,1740,+0.0,,,,,
,,,,,,,,,,1741,+26.9,,,,,
,,,,,,,,,,1742,+28.4,,,,,
,,,,,,,,,,1743,+0.0,,,,,
,,,,,,,,,,1744,-33.8,,,,,
,,,,,,,,,,1745,+5.1,,,,,
,,,,,,,,,,1746,+0.0,,,,,
,,,,,,,,,,1747,-31.8,,,,,
,,,,,,,,,,1748,-1.5,,,,,
,,,,,,,,,,1749,+0.0,,,,,
,,,,,,,,,,1750,-0.8,,,,,
,,,,,,,,,,1751,+26.9,,,,,
,,,,,,,,,,1752,+0.0,,,,,
,,,,,,,,,,1753,+72.0,,,,,
,,,,,,,,,,1754,+62.0,,,,,
,,,,,,,,,,1755,+0.0,,,,,
,,,,,,,,,,1756,-32.7,,,,,
,,,,,,,,,,1757,-31.1,,,,,
,,,,,,,,,,1758,+0.0,,,,,
,,,,,,,,,,1759,-36.6,,,,,
,,,,,,,,,,1760,-0.8,,,,,
,,,,,,,,,,1761,+0.0,,,,,
,,,,,,,,,,1762,-29.4,,,,,
,,,,,,,,,,1763,-37.6,,,,,
,,,,,,,,,,1764,+0.0,,,,,
,,,,,,,,,,1765,-48.3,,,,,
,,,,,,,,,,1766,-53.2,,,,,
,,,,,,,,,,1767,+0.0,,,,,
,,,,,,,,,,1768,-32.8,,,,,
,,,,,,,,,,1769,+3.3,,,,,
,,,,,,,,,,1770,+0.0,,,,,
,,,,,,,,,,1771,-1.8,,,,,
,,,,,,,,,,1772,-28.2,,,,,
,,,,,,,,,,1773,+0.0,,,,,
,,,,,,,,,,1774,-56.8,,,,,
,,,,,,,,,,1775,+4.2,,,,,
,,,,,,,,,,1776,+0.0,,,,,
,,,,,,,,,,1777,-32.5,,,,,
,,,,,,,,,,1778,+2.9,,,,,
,,,,,,,,,,1779,+0.0,,,,,
,,,,,,,,,,1780,-12.7,,,,,
,,,,,,,,,,1781,+42.8,,,,,
,,,,,,,,,,1782,+0.0,,,,,
,,,,,,,,,,1783,-43.1,,,,,
,,,,,,,,,,1784,-9.8,,,,,
,,,,,,,,,,1785,+0.0,,,,,
,,,,,,,,,,1786,+26.5,,,,,
,,,,,,,,,,1787,-0.3,,,,,
,,,,,,,,,,1788,+0.0,,,,,
,,,,,,,,,,1789,+40.8,,,,,
