名前,だいち,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,182,+1134.4,1650,,,,,
,,,,,,,,,,183,+1121.9,1647,,,,,
,,,,,,,,,,184,+1132.6,1648,,,,,
,,,,,,,,,,185,+1163.7,1653,,,,,
,,,,,,,,,,186,+1173.9,1654,,,,,
,,,,,,,,,,187,+1182.2,1655,,,,,
,,,,,,,,,,188,+1180.3,1654,,,,,
,,,,,,,,,,189,+1180.8,1654,,,,,
,,,,,,,,,,190,+1228.8,1662,,,,,
,,,,,,,,,,191,+1251.6,1665,,,,,
,,,,,,,,,,192,+1257.6,1666,,,,,
,,,,,,,,,,193,+1240.6,1662,,,,,
,,,,,,,,,,194,+1221.7,1657,,,,,
,,,,,,,,,,195,+1258.4,1663,,,,,
,,,,,,,,,,196,+1270.8,1665,,,,,
,,,,,,,,,,197,+1284.8,1667,,,,,
,,,,,,,,,,198,+1291.6,1668,,,,,
,,,,,,,,,,199,+1284.0,1665,,,,,
,,,,,,,,,,200,+1297.7,1667,,,,,
,,,,,,,,,,201,+1298.0,1667,,,,,
,,,,,,,,,,202,+1292.6,1665,,,,,
,,,,,,,,,,203,+1249.4,1656,,,,,
,,,,,,,,,,204,+1267.6,1659,,,,,
,,,,,,,,,,205,+1290.4,1662,,,,,
,,,,,,,,,,206,+1298.5,1663,,,,,
,,,,,,,,,,207,+1303.5,1663,,,,,
,,,,,,,,,,208,+1264.5,1655,,,,,
,,,,,,,,,,209,+1272.7,1656,,,,,
,,,,,,,,,,210,+1285.7,1658,,,,,
,,,,,,,,,,211,+1295.8,1659,,,,,
,,,,,,,,,,212,+1317.5,1662,,,,,
,,,,,,,,,,213,+1277.1,1654,,,,,
,,,,,,,,,,214,+1329.2,1663,,,,,
,,,,,,,,,,215,+1333.7,1663,,,,,
,,,,,,,,,,216,+1318.7,1660,,,,,
,,,,,,,,,,217,+1326.5,1660,,,,,
,,,,,,,,,,218,+1345.1,1663,,,,,
,,,,,,,,,,219,+1351.3,1663,,,,,
,,,,,,,,,,220,+1363.9,1665,,,,,
,,,,,,,,,,221,+1377.3,1667,,,,,
,,,,,,,,,,222,+1383.4,1667,,,,,
,,,,,,,,,,223,+1450.1,1678,,,,,
,,,,,,,,,,224,+1412.0,1670,,,,,
,,,,,,,,,,225,+1435.0,1674,,,,,
,,,,,,,,,,226,+1444.5,1675,,,,,
,,,,,,,,,,227,+1449.5,1675,,,,,
,,,,,,,,,,228,+1457.3,1676,,,,,
,,,,,,,,,,229,+1499.6,1682,,,,,
,,,,,,,,,,230,+1540.3,1689,,,,,
,,,,,,,,,,231,+1540.4,1688,,,,,
,,,,,,,,,,232,+1552.6,1689,,,,,
,,,,,,,,,,233,+1562.1,1690,,,,,
