名前,だいち,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,1007,+8132.8,1779,,,,,
,,,,,,,,,,1008,+8141.9,1780,,,,,
,,,,,,,,,,1009,+8085.0,1769,,,,,
,,,,,,,,,,1010,+8097.0,1770,,,,,
,,,,,,,,,,1011,+8035.7,1758,,,,,
,,,,,,,,,,1012,+7972.2,1746,,,,,
,,,,,,,,,,1013,+7941.7,1739,,,,,
,,,,,,,,,,1014,+7997.4,1749,,,,,
,,,,,,,,,,1015,+8001.4,1749,,,,,
,,,,,,,,,,1016,+8038.2,1754,,,,,
,,,,,,,,,,1017,+8094.2,1764,,,,,
,,,,,,,,,,1018,+8093.3,1762,,,,,
,,,,,,,,,,1019,+8122.9,1767,,,,,
,,,,,,,,,,1020,+8115.6,1765,,,,,
,,,,,,,,,,1021,+8158.5,1771,,,,,
,,,,,,,,,,1022,+8244.1,1786,,,,,
,,,,,,,,,,1023,+8220.7,1780,,,,,
,,,,,,,,,,1024,+8229.6,1781,,,,,
,,,,,,,,,,1025,+8290.2,1791,,,,,
,,,,,,,,,,1026,+8233.4,1780,,,,,
,,,,,,,,,,1027,+8292.0,1789,,,,,
,,,,,,,,,,1028,+8333.0,1795,,,,,
,,,,,,,,,,1029,+8449.4,1815,,,,,
